Row_Num,Brough,Block,Lot,maybe_issue
261,BRONX,2841,45,
262,BRONX,2842,38,
263,BRONX,2841,50,
264,BRONX,2842,80,
265,BRONX,2841,55,
266,BRONX,2842,71,
267,BRONX,2841,61,
268,BRONX,2842,33,
269,BRONX,2841,10,
270,BRONX,2841,14,
271,BRONX,2842,29,
272,BRONX,2841,18,
273,BRONX,2842,23,
274,BRONX,2874,97,
275,BRONX,2861,5,
276,BRONX,2865,126,
277,BRONX,2865,129,
278,BRONX,2865,103,
279,BRONX,2876,31,
280,BRONX,2876,37,
281,BRONX,2876,40,
282,BRONX,2876,43,
283,BRONX,2477,1,
284,BRONX,2477,7,
285,BRONX,2486,30,
286,BRONX,2477,11,
287,BRONX,2486,25,
291,BRONX,2477,15,
292,BRONX,2487,10,
293,BRONX,2478,7,
294,BRONX,2487,20,
295,BRONX,2478,12,
296,BRONX,2478,18,
297,BRONX,2487,42,
298,BRONX,2478,24,
299,BRONX,2488,46,
300,BRONX,2488,41,
301,BRONX,2479,5,
302,BRONX,2479,12,
303,BRONX,2488,36,
304,BRONX,2479,15,
305,BRONX,2488,31,
306,BRONX,2489,54,
307,BRONX,2481,1,
308,BRONX,2471,50,
309,BRONX,2471,36,
310,BRONX,2471,24,
311,BRONX,2472,28,
312,BRONX,2472,23,
313,BRONX,2472,11,
314,BRONX,2463,21,
315,BRONX,2463,16,
316,BRONX,2463,53,
317,BRONX,2463,46,
318,BRONX,2464,7,
319,BRONX,2464,23,
320,BRONX,2466,32,
321,BRONX,2839,68,
322,BRONX,2839,57,
323,BRONX,2841,70,
324,BRONX,2841,63,
325,BRONX,2835,26,
326,BRONX,2835,16,
327,BRONX,2836,12,
328,BRONX,2837,31,
329,BRONX,2837,18,
330,BRONX,2838,23,
331,BRONX,2838,12,
332,BRONX,2465,38,
333,BRONX,2837,1,
334,BRONX,2864,73,
335,BRONX,2859,1,
339,BRONX,2504,141,
340,BRONX,2504,126,
341,BRONX,2504,105,
342,BRONX,2505,30,
343,BRONX,2505,84,
344,BRONX,2505,64,
345,BRONX,2855,27,
346,BRONX,2872,40,
347,BRONX,2872,54,
348,BRONX,2872,36,
349,BRONX,2872,58,
350,BRONX,2872,29,
351,BRONX,2872,28,
352,BRONX,2872,189,
353,BRONX,2872,205,
354,BRONX,2872,207,
355,BRONX,2872,216,
356,BRONX,2872,287,
357,BRONX,2872,280,
358,BRONX,2872,256,
359,BRONX,2872,200,
360,BRONX,2857,81,
361,BRONX,2857,77,
362,BRONX,2858,1,
363,BRONX,2857,24,
364,BRONX,2857,28,
365,BRONX,2872,320,
366,BRONX,2872,326,
367,BRONX,2872,331,
368,BRONX,2865,32,
369,BRONX,2840,49,
370,BRONX,2840,54,
371,BRONX,2841,83,
372,BRONX,2840,54,
373,BRONX,2840,8,
374,BRONX,2841,1,
375,BRONX,2840,14,
376,BRONX,2841,25,
377,BRONX,2840,18,
378,BRONX,2463,26,
379,BRONX,2496,81,
380,BRONX,2478,30,
381,BRONX,2479,1,
382,BRONX,2532,43,
383,BRONX,2531,5,
387,BRONX,2532,33,
388,BRONX,2532,33,
389,BRONX,2531,13,
390,BRONX,2532,33,
391,BRONX,2531,18,
392,BRONX,2535,1,
393,BRONX,2536,1,
394,BRONX,2536,5,
395,BRONX,2512,59,
396,BRONX,2512,15,
397,BRONX,2514,36,
398,BRONX,2514,32,
399,BRONX,2514,25,
400,BRONX,2516,58,
401,BRONX,2515,9,
402,BRONX,2515,14,
403,BRONX,2517,15,
404,BRONX,2518,31,
405,BRONX,2519,1,
406,BRONX,2520,23,
407,BRONX,2520,26,
408,BRONX,2520,28,
409,BRONX,2521,31,
410,BRONX,2521,27,
411,BRONX,2873,8,
412,BRONX,2521,24,
413,BRONX,2873,13,
414,BRONX,2873,16,
415,BRONX,2873,21,
416,BRONX,2874,37,
417,BRONX,2874,33,
418,BRONX,2874,134,
419,BRONX,2874,107,
420,BRONX,2874,98,
421,BRONX,2525,28,
422,BRONX,2514,5,
423,BRONX,2526,90,
424,BRONX,2528,29,
425,BRONX,2528,28,
426,BRONX,2528,27,
427,BRONX,2522,5,
428,BRONX,2522,16,
429,BRONX,2522,63,
430,BRONX,2522,70,
431,BRONX,2536,26,
435,BRONX,2536,15,
436,BRONX,2511,13,
437,BRONX,2524,21,
438,BRONX,2524,20,
439,BRONX,2511,22,
440,BRONX,2511,25,
441,BRONX,2524,18,
442,BRONX,2524,16,
443,BRONX,2521,5,
444,BRONX,2874,85,
445,BRONX,2510,87,
446,BRONX,2506,10,
447,BRONX,2506,16,
448,BRONX,2506,22,
449,BRONX,2506,24,
450,BRONX,2506,75,
451,BRONX,2517,35,
452,BRONX,2520,53,
453,BRONX,2520,1,
454,BRONX,2872,5,
455,BRONX,2872,7,
456,BRONX,2873,58,
457,BRONX,2872,108,
458,BRONX,2872,123,
459,BRONX,2525,3,
460,BRONX,2525,3,
461,BRONX,2523,142,
462,BRONX,2523,141,
463,BRONX,2523,140,
464,BRONX,2523,139,
465,BRONX,2526,78,
466,BRONX,2526,6,
467,BRONX,2526,70,
468,BRONX,2524,4,
469,BRONX,2524,6,
470,BRONX,2524,206,
471,BRONX,2524,207,
472,BRONX,2523,166,
473,BRONX,2523,164,
474,BRONX,2523,163,
475,BRONX,2523,161,
476,BRONX,2523,159,
477,BRONX,2843,31,
478,BRONX,2843,35,
479,BRONX,2843,24,
483,BRONX,2843,18,
484,BRONX,2844,38,
485,BRONX,2844,33,
486,BRONX,2844,21,
487,BRONX,2844,43,
488,BRONX,2846,74,
489,BRONX,2845,7,
490,BRONX,2846,61,
491,BRONX,2845,17,
492,BRONX,2846,47,
493,BRONX,2845,20,
494,BRONX,2845,27,
495,BRONX,2846,41,
496,BRONX,2846,37,
497,BRONX,2847,29,
498,BRONX,2847,25,
499,BRONX,2847,22,
500,BRONX,2463,63,
501,BRONX,2463,11,
502,BRONX,2463,60,
503,BRONX,2526,44,
504,BRONX,2526,55,
505,BRONX,2526,62,
506,BRONX,2528,46,
507,BRONX,2528,18,
508,BRONX,2532,15,
509,BRONX,2532,20,
510,BRONX,2534,1,
511,BRONX,2534,3,
512,BRONX,2534,8,
513,BRONX,2533,86,
514,BRONX,2533,84,
515,BRONX,2537,38,
516,BRONX,2537,36,
517,BRONX,2875,39,
518,BRONX,2524,104,
519,BRONX,2524,105,
520,BRONX,2524,106,
521,BRONX,2524,108,
522,BRONX,2524,64,
523,BRONX,2524,113,
524,BRONX,2511,77,
525,BRONX,2511,64,
526,BRONX,2525,1,
527,BRONX,2512,45,
531,BRONX,2525,20,
532,BRONX,2527,168,
533,BRONX,2527,55,
534,BRONX,2527,50,
535,BRONX,2509,56,
536,BRONX,2528,19,
537,BRONX,2528,19,
538,BRONX,2528,61,
539,BRONX,2528,60,
540,BRONX,2528,58,
541,BRONX,2528,50,
542,BRONX,2855,25,
543,BRONX,2855,20,
544,BRONX,2517,30,
545,BRONX,2521,1,
546,BRONX,2521,56,
547,BRONX,2535,26,
548,UNIVERSITY HEIGHTS,2534,38,
549,BRONX,2532,26,
550,BRONX,2859,92,
551,BRONX,2873,80,
552,BRONX,2477,34,
553,BRONX,2471,11,
554,BRONX,2471,15,
555,BRONX,2477,21,
556,BRONX,2478,64,
557,BRONX,2478,58,
558,BRONX,2478,52,
559,BRONX,2478,46,
560,BRONX,2478,40,
561,BRONX,2463,1,
562,BRONX,2479,42,
563,BRONX,2479,36,
564,BRONX,2463,6,
565,BRONX,2463,34,
566,BRONX,2465,10,
567,BRONX,2465,25,
568,BRONX,2481,28,
569,BRONX,2841,41,
570,BRONX,2843,65,
571,BRONX,2843,74,
572,BRONX,2843,79,
573,BRONX,2844,65,
574,BRONX,2844,75,
575,BRONX,2844,58,
579,BRONX,2844,83,
580,BRONX,2845,1,
581,BRONX,2835,1,
582,BRONX,2845,77,
583,BRONX,2845,70,
584,BRONX,2845,62,
585,BRONX,2836,5,
586,BRONX,2845,45,
587,BRONX,2847,69,
588,BRONX,2838,4,
589,BRONX,2847,63,
590,BRONX,2847,51,
591,BRONX,2476,91,
592,BRONX,2476,50,
593,BRONX,2476,47,
594,BRONX,2476,44,
595,BRONX,2476,22,
596,BRONX,2508,14,
597,BRONX,2512,69,
598,BRONX,2509,6,
599,BRONX,2510,10,
600,BRONX,2515,41,
601,BRONX,2510,17,
602,BRONX,2510,23,
603,BRONX,2511,44,
604,BRONX,2507,1,
605,BRONX,2511,68,
606,BRONX,2833,6,
607,BRONX,2843,93,
608,BRONX,2843,85,
609,BRONX,2844,105,
610,BRONX,2844,95,
611,BRONX,2878,61,
612,BRONX,2878,78,
613,BRONX,0,0,
614,BRONX,2878,81,
615,BRONX,2878,82,
616,BRONX,2878,83,
617,BRONX,2878,44,
618,BRONX,2878,44,
619,BRONX,2878,169,
620,BRONX,2878,195,
621,BRONX,2879,28,
622,BRONX,2879,204,
623,BRONX,3221,90,
627,BRONX,3221,88,
628,BRONX,3221,86,
629,BRONX,3221,84,
630,BRONX,3221,82,
631,BRONX,3221,80,
632,BRONX,3221,78,
633,BRONX,3216,16,
634,BRONX,3221,74,
635,BRONX,3216,20,
636,BRONX,3216,26,
637,BRONX,3210,80,
638,BRONX,2879,253,
639,BRONX,2876,95,
640,BRONX,2876,100,
641,BRONX,3196,29,
642,BRONX,3196,10,
643,BRONX,3196,86,
644,BRONX,3208,48,
645,BRONX,2808,66,
646,BRONX,2881,40,
647,BRONX,2807,22,
648,BRONX,2807,16,
649,BRONX,2808,62,
650,BRONX,2807,70,
651,BRONX,2807,67,
652,BRONX,2807,59,
653,BRONX,3169,59,
654,BRONX,3169,55,
655,BRONX,3160,5,
656,BRONX,3160,9,
657,BRONX,3169,53,
658,BRONX,3160,14,
659,BRONX,3169,51,
660,BRONX,3161,1,
661,BRONX,3169,45,
662,BRONX,3161,7,
663,BRONX,3169,43,
664,BRONX,3161,10,
665,BRONX,3169,34,
666,BRONX,3162,1,
667,BRONX,3162,9,
668,BRONX,3162,11,
669,BRONX,3170,40,
670,BRONX,3170,34,
671,BRONX,3170,32,
675,BRONX,3163,3,
676,BRONX,3171,37,
677,BRONX,3171,37,
678,BRONX,3163,6,
679,BRONX,3171,34,
680,BRONX,3171,31,
681,BRONX,3163,11,
682,BRONX,2861,10,
683,BRONX,2861,11,
684,BRONX,2861,13,
685,BRONX,2867,58,
686,BRONX,2861,21,
687,BRONX,2861,50,
688,BRONX,2861,52,
689,BRONX,2861,57,
690,BRONX,2867,39,
691,BRONX,2861,67,
692,BRONX,2867,155,
693,BRONX,2861,114,
694,BRONX,2867,151,
695,BRONX,2861,119,
696,BRONX,2867,139,
697,BRONX,2867,134,
698,BRONX,2861,135,
699,BRONX,2870,61,
700,BRONX,2863,10,
701,BRONX,2863,13,
702,BRONX,2863,14,
703,BRONX,2863,15,
704,BRONX,3192,1,
705,BRONX,3193,24,
706,BRONX,3193,21,
707,BRONX,3194,48,
708,BRONX,3196,93,
709,BRONX,3196,74,
710,BRONX,3196,58,
711,BRONX,2868,100,
712,BRONX,3211,42,
713,BRONX,2850,67,
714,BRONX,2826,24,
715,BRONX,2851,36,
716,BRONX,2806,1,
717,BRONX,2805,41,
718,BRONX,2852,14,
719,BRONX,2805,45,
723,BRONX,2852,14,
724,BRONX,2827,42,
725,BRONX,2808,32,
726,BRONX,2807,35,
727,BRONX,2854,15,
728,BRONX,2829,30,
729,BRONX,3170,27,
730,BRONX,3170,30,
731,BRONX,3171,44,
732,BRONX,3171,42,
733,BRONX,3162,17,
734,BRONX,3163,1,
735,BRONX,3182,1,
736,BRONX,3181,19,
737,BRONX,3182,58,
738,BRONX,3181,22,
739,BRONX,2854,1,
740,BRONX,2807,1,
741,BRONX,2828,17,
742,BRONX,2828,22,
743,BRONX,2828,24,
744,BRONX,2865,162,
745,BRONX,2865,166,
746,BRONX,2867,13,
747,BRONX,2866,50,
748,BRONX,2867,30,
749,BRONX,2867,103,
750,BRONX,2867,94,
751,BRONX,2867,108,
752,BRONX,2869,148,
753,BRONX,2870,16,
754,BRONX,2869,142,
755,BRONX,2870,20,
756,BRONX,3193,1,
757,BRONX,3193,16,
758,BRONX,3195,12,
759,BRONX,3207,58,
760,BRONX,3196,1,
761,BRONX,3208,19,
762,BRONX,3196,56,
763,BRONX,3208,43,
764,BRONX,2822,12,
765,BRONX,2822,19,
766,BRONX,2826,62,
767,BRONX,2826,54,
771,BRONX,2826,72,
772,BRONX,2805,26,
773,BRONX,2805,16,
774,BRONX,2805,56,
775,BRONX,2805,51,
776,BRONX,2806,33,
777,BRONX,2808,12,
778,BRONX,2808,51,
779,BRONX,2808,96,
780,BRONX,3160,35,
781,BRONX,3160,24,
782,BRONX,3160,20,
783,BRONX,3161,30,
784,BRONX,3161,26,
785,BRONX,3161,18,
786,BRONX,3162,45,
787,BRONX,3162,34,
788,BRONX,3162,29,
789,BRONX,3163,30,
790,BRONX,3163,21,
791,BRONX,2867,60,
792,BRONX,2867,70,
793,BRONX,2869,1,
794,BRONX,2869,5,
795,BRONX,2869,9,
796,BRONX,2869,70,
797,BRONX,2869,87,
798,BRONX,3210,59,
799,BRONX,3228,5,
800,BRONX,3228,9,
801,BRONX,2826,48,
802,BRONX,2826,51,
803,BRONX,2861,163,
804,BRONX,2879,94,
805,BRONX,2879,53,
806,BRONX,2879,200,
807,BRONX,3228,1,
808,BRONX,3221,7,
809,BRONX,3221,10,
810,BRONX,3221,11,
811,BRONX,3221,13,
812,BRONX,3221,15,
813,BRONX,3221,17,
814,BRONX,3228,97,
815,BRONX,3224,17,
819,BRONX,2866,4,
820,BRONX,2876,28,
821,BRONX,2876,194,
822,BRONX,2876,185,
823,BRONX,2876,184,
824,BRONX,2878,5,
825,BRONX,2877,240,
826,BRONX,2878,9,
827,BRONX,2877,233,
828,BRONX,2878,120,
829,BRONX,2878,126,
830,BRONX,2878,132,
831,BRONX,2878,138,
832,BRONX,2826,32,
833,BRONX,2826,76,
834,BRONX,2805,1,
835,BRONX,2827,53,
836,BRONX,2827,46,
837,BRONX,2828,30,
838,BRONX,2828,26,
839,BRONX,2829,16,
840,BRONX,2807,41,
841,BRONX,2829,62,
842,BRONX,2807,52,
843,BRONX,2807,56,
844,BRONX,3178,55,
845,BRONX,3169,2,
846,BRONX,3178,50,
847,BRONX,3169,9,
848,BRONX,3178,45,
849,BRONX,3180,20,
850,BRONX,3180,18,
851,BRONX,3180,16,
852,BRONX,3181,45,
853,BRONX,3170,15,
854,BRONX,3181,30,
855,BRONX,3170,21,
856,BRONX,3171,5,
857,BRONX,3182,50,
858,BRONX,3182,45,
859,BRONX,3182,40,
860,BRONX,3182,37,
861,BRONX,3182,35,
862,BRONX,3182,31,
863,BRONX,2805,12,
867,BRONX,2805,65,
868,BRONX,2805,60,
869,BRONX,2852,30,
870,BRONX,2827,32,
871,BRONX,2827,60,
872,BRONX,2876,225,
873,BRONX,2876,219,
874,BRONX,2876,215,
875,BRONX,2876,213,
876,BRONX,2876,163,
877,BRONX,2876,165,
878,BRONX,2876,167,
879,BRONX,2876,170,
880,BRONX,2876,171,
881,BRONX,2876,174,
882,BRONX,3228,17,
883,BRONX,3228,21,
884,BRONX,2877,550,
885,BRONX,2879,282,
886,BRONX,2879,80,
887,BRONX,2879,235,
888,BRONX,2879,240,
889,BRONX,2877,202,
890,BRONX,2877,211,
891,BRONX,2877,216,
892,BRONX,2877,290,
893,BRONX,2877,268,
894,BRONX,2877,424,
895,BRONX,2877,431,
896,BRONX,2880,9,
897,BRONX,2880,17,
898,BRONX,2880,91,
899,BRONX,2881,1,
900,BRONX,2881,84,
901,BRONX,2881,75,
902,BRONX,2881,58,
903,BRONX,3230,5,
904,BRONX,3230,10,
905,BRONX,3230,16,
906,BRONX,2849,64,
907,BRONX,2849,24,
908,BRONX,2850,23,
909,BRONX,2850,40,
910,BRONX,2850,16,
911,BRONX,2880,61,
915,BRONX,2880,58,
916,BRONX,2880,47,
917,BRONX,2880,135,
918,BRONX,2877,166,
919,BRONX,2877,250,
920,BRONX,2877,254,
921,BRONX,2877,261,
922,BRONX,2880,115,
923,BRONX,2876,65,
924,BRONX,2876,67,
925,BRONX,2878,1,
926,BRONX,2876,70,
927,BRONX,2878,19,
928,BRONX,2876,73,
929,BRONX,2878,17,
930,BRONX,2878,15,
931,BRONX,2876,78,
932,BRONX,2876,82,
933,BRONX,2876,83,
934,BRONX,2876,87,
935,BRONX,2876,88,
936,BRONX,2876,91,
937,BRONX,2876,93,
938,BRONX,2878,90,
939,BRONX,2878,100,
940,BRONX,2876,106,
941,BRONX,2878,211,
942,BRONX,2876,112,
943,BRONX,2868,1,
944,BRONX,2879,100,
945,BRONX,2879,123,
946,BRONX,2879,121,
947,BRONX,2879,117,
948,BRONX,2879,45,
949,BRONX,2868,98,
950,BRONX,2868,105,
951,BRONX,2868,105,
952,BRONX,2868,127,
953,BRONX,2868,129,
954,BRONX,3216,52,
955,BRONX,3216,48,
956,BRONX,3211,9,
957,BRONX,3211,23,
958,BRONX,3211,35,
959,BRONX,2876,14,
963,BRONX,2876,12,
964,BRONX,2866,9,
965,BRONX,2876,25,
966,BRONX,2876,23,
967,BRONX,2878,23,
968,BRONX,2878,97,
969,BRONX,2866,74,
970,BRONX,2866,72,
971,BRONX,3216,60,
972,BRONX,3206,66,
973,BRONX,3206,22,
974,BRONX,3195,104,
975,BRONX,3194,31,
976,BRONX,3196,38,
977,BRONX,3195,61,
978,BRONX,3196,23,
979,BRONX,3195,16,
980,BRONX,3208,1,
981,BRONX,3224,32,
982,BRONX,3225,1,
983,BRONX,3225,7,
984,BRONX,3224,20,
985,BRONX,3223,34,
986,BRONX,3223,30,
987,BRONX,3225,52,
988,BRONX,3217,31,
989,BRONX,3218,1,
990,BRONX,3217,27,
991,BRONX,2879,170,
992,BRONX,2869,58,
993,BRONX,2879,50,
994,BRONX,2869,167,
995,BRONX,2881,15,
996,BRONX,2869,171,
997,BRONX,2869,40,
998,BRONX,2869,34,
999,BRONX,2862,8,
1000,BRONX,2862,6,
1001,BRONX,2869,47,
1002,BRONX,2867,125,
1003,BRONX,2849,76,
1004,BRONX,2849,70,
1005,BRONX,2826,2,
1006,BRONX,2826,6,
1007,BRONX,2826,15,
1011,BRONX,2850,52,
1012,BRONX,2851,29,
1013,BRONX,2852,27,
1014,BRONX,2827,36,
1015,BRONX,2828,5,
1016,BRONX,2829,1,
1017,BRONX,2829,35,
1018,BRONX,2854,56,
1019,BRONX,2829,42,
1020,BRONX,3179,57,
1021,BRONX,3179,52,
1022,BRONX,3179,47,
1023,BRONX,3179,41,
1024,BRONX,3180,9,
1025,BRONX,3181,1,
1026,BRONX,3186,32,
1027,BRONX,3181,15,
1028,BRONX,3186,30,
1029,BRONX,3186,27,
1030,BRONX,3182,4,
1031,BRONX,3182,8,
1032,BRONX,3182,16,
1033,BRONX,3182,19,
1034,BRONX,2309,29,
1035,BRONX,2296,5,
1036,BRONX,2296,6,
1037,BRONX,2309,25,
1038,BRONX,2301,53,
1039,BRONX,2301,2,
1040,BRONX,2315,15,
1041,BRONX,2315,41,
1042,BRONX,2555,23,
1043,BRONX,2554,10,
1044,BRONX,2554,18,
1045,BRONX,2554,18,
1046,BRONX,2555,45,
1047,BRONX,2265,25,
1048,BRONX,2265,6,
1049,BRONX,2266,1,
1050,BRONX,2266,5,
1051,BRONX,2284,62,
1052,BRONX,2284,62,
1053,BRONX,2284,62,
1054,BRONX,2268,5,
1055,BRONX,2268,6,
1059,BRONX,2268,7,
1060,BRONX,2268,8,
1061,BRONX,2264,1,
1062,BRONX,2264,3,
1063,BRONX,2282,43,
1064,BRONX,2260,18,
1065,BRONX,2296,49,
1066,BRONX,2296,45,
1067,BRONX,2295,67,
1068,BRONX,2295,71,
1069,BRONX,2550,44,
1070,BRONX,2566,1,
1071,BRONX,2550,38,
1072,BRONX,2551,44,
1073,BRONX,2552,40,
1074,BRONX,2554,49,
1075,BRONX,2554,44,
1076,BRONX,2571,14,
1077,BRONX,2571,14,
1078,BRONX,2295,73,
1079,BRONX,2296,12,
1080,BRONX,2278,30,
1081,BRONX,2280,62,
1082,BRONX,2280,60,
1083,BRONX,2281,1,
1084,BRONX,2280,10,
1085,BRONX,2281,60,
1086,BRONX,2281,10,
1087,BRONX,2281,10,
1088,BRONX,2281,10,
1089,BRONX,2564,5,
1090,BRONX,2565,66,
1091,BRONX,2282,75,
1092,BRONX,2281,35,
1093,BRONX,2282,45,
1094,BRONX,2550,1,
1095,BRONX,2550,75,
1096,BRONX,2566,39,
1097,BRONX,2566,26,
1098,BRONX,2566,25,
1099,BRONX,2301,52,
1100,BRONX,2301,50,
1101,BRONX,2301,49,
1102,BRONX,2301,47,
1103,BRONX,2301,44,
1107,BRONX,2301,42,
1108,BRONX,2301,41,
1109,BRONX,2301,40,
1110,BRONX,2301,31,
1111,BRONX,2301,29,
1112,BRONX,2282,13,
1113,BRONX,2282,15,
1114,BRONX,2282,39,
1115,BRONX,2283,62,
1116,BRONX,2265,4,
1117,BRONX,2283,61,
1118,BRONX,2265,6,
1119,BRONX,2266,2,
1120,BRONX,2265,27,
1121,BRONX,2265,29,
1122,BRONX,2265,31,
1123,BRONX,2266,41,
1124,BRONX,2266,40,
1125,BRONX,2265,33,
1126,BRONX,2266,39,
1127,BRONX,2266,37,
1128,BRONX,2265,35,
1129,BRONX,2265,37,
1130,BRONX,2265,39,
1131,BRONX,2266,28,
1132,BRONX,2265,41,
1133,BRONX,2265,42,
